,RTRF,RMRF,SMB,HML,MOM
2017-04-28,0,-0.04436876631863039,-0.01815631639928697,-0.001548497767857151,0.012763726190476204
2017-05-31,0,-0.04338649264134152,-0.015347606951871645,-0.0024032991071428933,0.0011464910714285874
2017-06-30,0,0.0330252136923045,-0.006454487522281638,-0.004067790178571431,-0.000572941964285727
2017-07-31,0,0.0011382241406837767,-0.008387618538324414,0.011931636160714292,0.0031358110119047685
2017-08-31,0,0.015501730376899295,0.0005475757575757512,-0.016247372767857145,-0.012387473214285712
2017-09-29,0,-0.0022093382281512673,-0.0059767495543672005,-0.016337299107142857,-0.005783156250000003
2017-10-31,0,-0.003943285280999174,-0.009822270944741529,-0.01548221428571429,0.006894473214285717
2017-11-30,0,-0.04451474623431416,-0.01674498752228164,-0.001365910714285734,0.014066363095238116
2017-12-29,0,-0.01769324644698954,-0.007724770944741528,-0.01064254241071429,0.008904598214285716
2018-01-31,0,0.002953015111120463,-0.01603023796791443,0.008988993303571429,0.01402604464285714
2018-02-28,0,-0.06350567843433029,-0.007194490196078427,-0.010819171875000002,0.007187022321428576
2018-03-30,0,-0.015993607614477753,0.01130823529411765,-0.0237685625,-0.03141277976190474
2018-04-27,0,-0.052209346751427396,-0.010872084670231721,-0.008878834821428585,0.01057475000000001
2018-05-31,0,-0.015587219979055086,-0.009684594474153303,-0.01910468749999999,0.009792093750000005
2018-06-29,0,-0.09825961460893405,-0.014305541889483043,-0.009718388392857111,0.012043488095238076
2018-07-31,0,-0.011975782322850001,0.003849583778966134,-0.002950674107142861,-0.02441431101190476
2018-08-31,0,-0.0785586405898515,-0.0020141809269161944,-0.00121739213293651,-0.006576961309523836
2018-09-28,0,-0.0015284095843587232,-0.004470647058823529,0.0015491495535714245,-0.004079019345238095
2018-10-31,0,-0.1064134035521843,0.0007093012477718297,0.0007802544642857167,-0.007826818452380948
2018-11-30,0,0.0062499773498942,0.007947199643493769,-0.02066808482142855,-0.03263034077380952
2018-12-28,0,-0.06335821548603025,-0.005492928698752232,-0.012750473214285714,0.0053232976190476225
2019-01-31,0,0.012295023830505417,-0.015382958110516928,0.01410787500000001,0.0011486607142857134
2019-02-28,0,0.1634274921140614,0.006937559714795007,-0.02549079017857135,-0.027558989583333245
2019-03-29,0,0.06475043726886,-0.0025495525846702567,-0.035344794642857176,-0.0022571577380952057
2019-04-30,0,-0.02940316459674351,-0.007173583778966141,-0.00813319642857142,-0.00042985863095237626
2019-05-31,0,-0.0788147017626014,-0.003970403743315499,-0.02229172544642858,0.009963380952380942
2019-06-28,0,0.018729461944282502,-0.00500056506238859,-0.004986819196428572,0.00019300148809523742
2019-07-31,0,-0.01612433862270389,-0.006187059714795013,-0.0042360848214285695,-0.004510428571428569
2019-08-30,0,-0.022415471547902563,-0.005953215686274506,-0.030658100446428572,0.0027955
2019-09-30,0,-0.00730467916970877,-0.0009977165775401054,-0.00541008928571429,-0.00765246577380952
2019-10-31,0,-0.006838138114594204,-0.0067925926916221095,-0.0089174375,-0.0015477767857142858
2019-11-29,0,-0.0300692907621095,-0.0023653377896613224,-0.0068720825892857156,-0.008964188988095234
2019-12-31,0,0.060465408651152144,-0.0039666229946524086,-0.017820279017857148,0.0011482931547619124
